Title,
Revision,
Date,
Generated,03/04/18 14:03:50
Company,
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,51
Total Unique Parts,17



Ref,Qty,Value,Footprint,Datasheet,
C1 C7 C11 C18 ,4,4.7nF,Capacitors_SMD:C_0805_HandSoldering,
C2 C8 C13 C19 ,4,820pf,Capacitors_SMD:C_0805_HandSoldering,
C3 C4 C9 C10 C14 C15 C20 C21 ,8,680pF,Capacitors_SMD:C_0805_HandSoldering,
C5 C6 C12 C16 C17 ,5,C,Capacitors_SMD:C_0805_HandSoldering,
C22 ,1,10uF,Capacitors_SMD:C_0805_HandSoldering,
C23 ,1,0,1uF,Capacitors_SMD:C_0805_HandSoldering,
J1 J3 ,2,in,Libs:JUMPER_5MM,
J2 J4 ,2,ut,Libs:JUMPER_5MM,
J5 ,1,GND_conns,Connectors_Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm,
J6 ,1,PWR_Ext,Connectors_Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm,
R1 R5 R9 R13 ,4,5,23K,Resistors_SMD:R_0805_HandSoldering,
R2 R6 R10 R14 ,4,6,65K,Resistors_SMD:R_0805_HandSoldering,
R3 R7 R11 R15 ,4,11,8K,Resistors_SMD:R_0805_HandSoldering,
R4 R8 R12 R16 ,4,16,9K,Resistors_SMD:R_0805_HandSoldering,
U1 U2 U4 U5 ,4,NE5532,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U3 ,1,74LVC125,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,
U6 ,1,LM2937,TO_SOT_Packages_SMD:SOT-223-3_TabPin2,http://www.ti.com/lit/ds/symlink/lm2937.pdf




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated 03/04/18 14:03:50
